DW_TEMPO;invoice_date;_year;_month;_quarter
a1315931718f0175e93f420e659dee5f4024d568768c6df232a4bbff298e0995;2018-03-21;2018;3;1
c06300bd20b2e198b36afcc26ec17673b84f71605177fb89a468a5534b4813fd;2017-06-25;2017;6;2
f19313116ca5547dfe01d9e695ac1430d95845d99fd4457be1ce01453ff80207;2019-03-12;2019;3;1
97e155affbe32236f59d3fbfad34b10cc40de81fd3f60d2c3450a78dc069cd58;2017-06-16;2017;6;2
201a54b168c040c9e637a689fe793a60271987659980d527ed7436417178d72d;2017-12-17;2017;12;4
45b4889881d0531771b341b4c8de2edfe4a54f7a028a16b64e3259f7fa5a64b5;2018-10-02;2018;10;4
053a0962cf31646e27c746c912152cffc5783506bae523167194bb9678fb57c1;2018-09-15;2018;9;3
fb9099f7b76d5445bd37e2483e4464639929684f0962ab9070a4db786290bf53;2018-07-08;2018;7;3
6cff5ec824baf193ddecf4451a8082d800b631402d7c1a4131eb9c0225e73ee0;2018-04-01;2018;4;2
f9f161fb8acc99c969313a985be90e4b0ad0578fb73ca5101486b4f94c2d6f66;2017-01-21;2017;1;1
ea07368d4b084e72a2be2cef9ad73d08071a618d41b960c85bc1de54fc819dcf;2018-06-21;2018;6;2
507a684364c05359b44afaae939f5499fb6999e6e8467189fc82a5d0dadf4894;2019-03-17;2019;3;1
5912ee0bc10d24357e8a8de1baeb8576f0d905501bd8b6af37c99345ee1768fe;2017-09-07;2017;9;3
2dd6e9de36d44101acc7c3cd3e8551936877cad8e8af4033f4633b911719aac1;2018-12-29;2018;12;4
db201d8dac25c3482a96d93cb73999aa7ccfd677d16606af3bab2fb5828fc5cb;2017-06-22;2017;6;2
50cdec80caf9c66fc6b373726b7cbd31cefa1e1833faefc78d231f476adb3e16;2018-08-21;2018;8;3
494e6261161f1fc4a884db6164df0d524a4a38aeadf8b8abf4b7e8d57db2305d;2018-06-24;2018;6;2
41fe3ae90822511d09fd11cf1817c875e36a3e2f2e9359030f908c14e69f88ca;2018-04-18;2018;4;2
bf55dc451fd1eca0c7ac324c8e57d402100a2e53743843b223ce687989afa5e1;2019-03-07;2019;3;1
